# x_m, y_m, w_tr_right_m, w_tr_left_m
-24.128771735428465, 97.88013397129936, 0.7926587269161688, 0.7662960324530499
-24.12189052331826, 97.82571637608685, 0.7926587269161688, 0.7662960324530499
-24.115028638326947, 97.77125446152371, 0.7926587269161688, 0.7662960324530499
-24.10818272774934, 97.71674979702637, 0.7926587269161688, 0.7662960324530499
-24.101349438880202, 97.6622039520111, 0.7926587269161688, 0.7662960324530499
-24.094525419014357, 97.60761849589433, 0.7926587269161688, 0.7662960324530499
-24.08770731544655, 97.55299499809233, 0.7926587269161688, 0.7662960324530499
-24.080891775471592, 97.49833502802143, 0.7926587269161688, 0.7662960324530499
-24.07407544638428, 97.44364015509804, 0.7926587269161688, 0.7662960324530499
-24.06725497547939, 97.38891194873844, 0.7926587269161688, 0.7662960324530499
-24.060427010051704, 97.33415197835903, 0.7926587269161688, 0.7662960324530499
-24.053588197396028, 97.2793618133761, 0.7926587269161688, 0.7662960324530499
-24.046735184807144, 97.22454302320607, 0.7926587269161688, 0.7662960324530499
-24.039864619579827, 97.16969717726518, 0.7926587269161688, 0.7662960324530499
-24.03297314900889, 97.11482584496984, 0.7926587269161688, 0.7662960324530499
-24.026057420389108, 97.0599305957364, 0.7926587269161688, 0.7662960324530499
-24.019114081015264, 97.00501299898113, 0.7926587269161688, 0.7662960324530499
-24.01213977818215, 96.95007462412042, 0.7926587269161688, 0.7662960324530499
-24.005131159184568, 96.89511704057068, 0.7926587269161688, 0.7662960324530499
-23.99808487131729, 96.84014181774815, 0.7926587269161688, 0.7662960324530499
-23.99099756187511, 96.78515052506921, 0.7926587269161688, 0.7662960324530499
-23.983865878152823, 96.73014473195023, 0.7926587269161688, 0.7662960324530499
-23.976686467445205, 96.6751260078075, 0.7926587269161688, 0.7662960324530499
-23.969455977047048, 96.6200959220574, 0.7926587269161688, 0.7662960324530499
-23.96217105425316, 96.5650560441163, 0.7926587269161688, 0.7662960324530499
-23.954828346358312, 96.5100079434005, 0.7926587269161688, 0.7662960324530499
-23.94742450065728, 96.45495318932632, 0.7926587269161688, 0.7662960324530499
-23.93995616444487, 96.3998933513101, 0.7926587269161688, 0.7662960324530499
-23.932419985015887, 96.34482999876832, 0.7926587269161688, 0.7662960324530499
-23.92481260966507, 96.28976470111711, 0.7926587269161688, 0.7662960324530499
